A1             pred_score
안밀            0.004543
하라고지페         0.004410
초와밥           0.004395
퍼블리코타코        0.004391
멘쇼우라멘         0.004326
기절초풍왕순대       0.004146
백산식당          0.004133
A24          pred_score
storeID            
로향양꼬치      0.013117
텐동요츠야      0.012550
박명주브라더     0.011780
문득         0.010859
제주상회       0.010139
봉천예술관      0.009973
도깨비        0.009255
표표마라탕      0.009255
쑥고개        0.009255
돈뼈락연탄갈비    0.009037
A25          pred_score
storeID            
동경산책       0.011485
킷사서울.1     0.008150
오지편한식당     0.007020
대작         0.006607
노랑통닭       0.006607
모힝         0.006607
유가네 닭갈비    0.006607
아궁이 빙수     0.005694
어부사시가      0.005673
멘쇼우라벤      0.005545
A26                 pred_score
storeID                   
뽕잎사랑 낙성대점         0.012090
락구정               0.011852
무지개맥주             0.011771
BBQ 서울대글로벌공학관점    0.011591
일점사               0.011589
온고지신              0.011520
정숙성               0.011482
가츠가게              0.011467
요샌                0.011426
표표마라탕_y           0.011390
A27             pred_score
storeID               
레그나 나폴리       0.013067
샐러디           0.013067
서초동연가 사당역점    0.011304
진우리참치         0.011017
히토리 더 야끼니꾸    0.010917
분미            0.010809
이레삼계탕         0.010783
섭지수산          0.010781
만두작만두작        0.010765
축상            0.010719
A28          pred_score
storeID            
텐동요츠야      0.008167
온돌         0.007490
킷사서울       0.006542
쟝블랑제리      0.006051
에그썸        0.005995
일점사        0.005974
아궁이 빙수     0.005540
어부사시가      0.005519
정통집        0.005485
마약떡볶이      0.005333
A29          pred_score
storeID            
문득         0.009149
온돌         0.008680
일점사        0.008305
정통집        0.008027
박명주브라더     0.007650
모즈플레이스     0.007091
생활맥주       0.007091
친목         0.007090
아궁이 빙수     0.007087
스태미나       0.007079
A30             pred_score
storeID               
양지순천집         0.010827
소담멸치국수        0.010827
연소바           0.010827
마라하오도봉점       0.010827
만나칼국수         0.010827
가마로강정 방학역점    0.010827
만돌이네족발보쌈      0.010827
효의초밥          0.010827
별난분식 경기대점     0.010827
#술비 부평점       0.010827
A31              pred_score
storeID                
모힝_x           0.019029
모힝_y           0.018368
마이무            0.012671
모힝 낙성대점_x      0.011985
텐동요츠야          0.011838
도적숯불구이         0.011304
돈파스팔레 낙성대본점    0.010881
모힝 낙성대점_y      0.010547
광고모힝 낙성대점      0.010547
오후의과일          0.010189
A32               pred_score
storeID                 
켄스시             0.011651
봉천예술관.1         0.011651
남도반주            0.011022
연소바             0.008721
신쓰촨마라탕          0.008721
양지순천집           0.008721
소담멸치국수          0.008721
신참떡볶이 노원상계점     0.008721
심봉사도로케 신림대학점    0.008721
백년황소곱창          0.008721
A33          pred_score
storeID            
온돌         0.023981
텐동요츠야      0.023289
일점사        0.022828
황홀경        0.022816
와인창고잡      0.021966
더멜팅팟       0.021705
옷살         0.020873
제주상회       0.020530
돈뼈락연탄갈비    0.020195
만석곱창       0.019919
A34                 pred_score
storeID                   
차이나당              0.009572
나인온스              0.008669
킷사서울              0.008150
양지순천집             0.006672
소담멸치국수            0.006672
연소바               0.006672
원조마포소금구이 의정부본점    0.006672
원두막솥뚜껑삼겹살 수유점     0.006672
원두막               0.006672
울엄마밥상             0.006672
A35          pred_score
storeID            
문득         0.006874
온돌         0.006522
텐동요츠야      0.006507
일점사        0.006240
또오리포차      0.006121
무삥과 팟타이    0.006121
정통집        0.006032
박명주브라더     0.005749
모즈플레이스     0.005331
생활맥주       0.005330
A36             pred_score
storeID               
기절초풍왕순대       0.028127
나인온스버거_x      0.027364
카페폴           0.027084
가츠가게          0.027064
오월의김밥         0.027028
나인온스버거_y      0.026840
카도야라멘 서울대점    0.026792
킷사서울          0.026662
뽕잎사랑 낙성대점     0.026604
더멜팅팟          0.026573
A37           pred_score
storeID             
에그썸         0.011426
킷사서울        0.010834
쟝블랑제리       0.010211
더멜팅팟        0.009273
나인온스버거_x    0.008968
나인온스버거_y    0.008818
제주상회        0.008715
안녕부산        0.008592
로향양꼬치       0.008588
문득          0.008290
A38              pred_score
storeID                
멘쇼우라벤          0.023486
문득             0.021482
차이나당           0.020196
곱분이곱창          0.019418
소담멸치국수         0.018775
양지순천집          0.018775
연소바            0.018775
요달의 찜닭 건국대점    0.018775
사랑찌개백반전문점      0.018775
백년황소곱창         0.018775
A39          pred_score
storeID            
텐동요츠야      0.009320
문득         0.009258
오지편한식당     0.009210
일점사        0.008407
차이나당       0.008387
스태미나       0.008276
제주상회       0.008245
박명주브라더     0.008154
정통집        0.008110
돈뼈락연탄갈비    0.007635
A40             pred_score
storeID               
텐동요츠야         0.011119
마이무           0.010485
더멜팅팟          0.010322
